# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 10.1631 h/Mpc,
# number of wavenumbers equal to 683
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.841664365454e-02       2.295591469828e+04 
       2.855502354290e-02       2.287699562346e+04 
       2.869367814771e-02       2.279777732133e+04 
       2.883261401952e-02       2.271828327212e+04 
       2.897183789094e-02       2.263796566322e+04 
       2.911135668273e-02       2.255801700361e+04 
       2.925117751010e-02       2.247835787789e+04 
       2.939130768939e-02       2.239783779600e+04 
       2.953175474487e-02       2.231719455661e+04 
       2.967252641598e-02       2.223674306353e+04 
       2.981363066478e-02       2.215517585385e+04 
       2.995507568375e-02       2.207409492624e+04 
       3.009686990400e-02       2.199354429495e+04 
       3.023902200370e-02       2.191155689547e+04 
       3.038154091702e-02       2.183094365720e+04 
       3.052443584341e-02       2.174882658563e+04 
       3.066771625729e-02       2.166809488121e+04 
       3.081139191820e-02       2.158575587827e+04 
       3.095547288147e-02       2.150244803076e+04 
       3.109996950926e-02       2.142037710984e+04 
       3.124489248223e-02       2.133816856825e+04 
       3.139025281174e-02       2.125586011386e+04 
       3.153606185261e-02       2.117391378411e+04 
       3.168233131650e-02       2.109154570782e+04 
       3.182907328596e-02       2.100860387939e+04 
       3.197630022915e-02       2.092616140533e+04 
       3.212402501534e-02       2.084323065956e+04 
       3.227226093113e-02       2.076057121672e+04 
       3.242102169752e-02       2.067822809704e+04 
       3.257032148785e-02       2.059534596328e+04 
       3.272017494670e-02       2.051196997069e+04 
       3.287059720973e-02       2.042971953965e+04 
       3.302160392460e-02       2.034691432627e+04 
       3.317321127303e-02       2.026395755956e+04 
       3.332543599395e-02       2.018139828520e+04 
       3.347829540809e-02       2.009859314524e+04 
       3.363180744374e-02       2.001515932141e+04 
       3.378599066409e-02       1.993213154277e+04 
       3.394086429601e-02       1.984911934658e+04 
       3.409644826056e-02       1.976639242349e+04 
       3.425276320522e-02       1.968377042932e+04 
       3.440983053796e-02       1.960044445997e+04 
       3.456767246339e-02       1.951741456235e+04 
       3.472631202107e-02       1.943442251487e+04 
       3.488577312605e-02       1.935182801396e+04 
       3.504608061198e-02       1.926888815501e+04 
       3.520726027686e-02       1.918610109090e+04 
       3.536933893165e-02       1.910293792823e+04 
       3.553234445196e-02       1.901967579441e+04 
       3.569630583305e-02       1.893678790037e+04 
       3.586125324843e-02       1.885398274650e+04 
       3.602721811235e-02       1.877107670957e+04 
       3.619423314636e-02       1.868815475907e+04 
       3.636233245043e-02       1.860537511274e+04 
       3.653155157900e-02       1.852262250499e+04 
       3.670192762217e-02       1.843985359341e+04 
       3.687349929269e-02       1.835719145607e+04 
       3.704630701918e-02       1.827447838571e+04 
       3.722039304597e-02       1.819184405085e+04 
       3.739580154038e-02       1.810975435926e+04 
       3.757257870792e-02       1.802706985355e+04 
       3.775077291615e-02       1.794318175216e+04 
       3.793043482808e-02       1.786137337873e+04 
       3.811161754590e-02       1.777898853602e+04 
       3.829437676601e-02       1.769554487853e+04 
       3.847877094650e-02       1.761411723154e+04 
       3.866486148823e-02       1.753038794664e+04 
       3.885271293084e-02       1.744814062546e+04 
       3.904239316517e-02       1.736564333946e+04 
       3.923397366385e-02       1.728445893027e+04 
       3.942752973178e-02       1.720191657560e+04 
       3.962314077872e-02       1.711945861978e+04 
       3.982089061621e-02       1.703619474966e+04 
       4.002086778162e-02       1.695350253486e+04 
       4.022316589211e-02       1.687102721636e+04 
       4.042788403204e-02       1.678867115080e+04 
       4.063512717751e-02       1.670588534725e+04 
       4.084500666239e-02       1.662319062697e+04 
       4.105764069077e-02       1.653990930762e+04 
       4.127315490130e-02       1.645807007862e+04 
       4.149168298989e-02       1.637530016112e+04 
       4.171336739805e-02       1.629242188796e+04 
       4.193836007515e-02       1.620909897219e+04 
       4.216682332421e-02       1.612632304443e+04 
       4.239893074239e-02       1.604313638076e+04 
       4.263486826884e-02       1.595956970330e+04 
       4.287483535478e-02       1.587665542913e+04 
       4.311904627301e-02       1.579325867179e+04 
       4.336773158698e-02       1.570902343096e+04 
       4.362113980272e-02       1.562520431334e+04 
       4.387953923131e-02       1.554119198972e+04 
       4.414322009407e-02       1.545724846968e+04 
       4.441249690879e-02       1.537237563120e+04 
       4.468771120210e-02       1.528747017987e+04 
       4.496923460176e-02       1.520233335200e+04 
       4.525747237301e-02       1.511682249128e+04 
       4.555286747562e-02       1.503006006781e+04 
       4.585590523406e-02       1.494381836802e+04 
       4.616711873196e-02       1.485714973168e+04 
       4.648709506593e-02       1.477003650279e+04 
       4.681648262288e-02       1.468242805630e+04 
       4.715599958146e-02       1.459428050841e+04 
       4.750644388400e-02       1.450562410803e+04 
       4.786870498255e-02       1.441626256386e+04 
       4.824377773487e-02       1.432617387745e+04 
       4.863277891790e-02       1.423534701530e+04 
       4.903696694226e-02       1.414366313880e+04 
       4.945776549922e-02       1.405157402987e+04 
       4.989679206011e-02       1.395794175725e+04 
       5.035589238829e-02       1.386302683471e+04 
       5.083718252923e-02       1.376675406464e+04 
       5.134310013097e-02       1.366968796237e+04 
       5.187646743081e-02       1.357063696108e+04 
       5.244056883835e-02       1.346943868363e+04 
       5.303924675086e-02       1.336622759133e+04 
       5.367702002369e-02       1.325984311734e+04 
       5.435923028503e-02       1.315196824641e+04 
       5.509222178100e-02       1.303919326848e+04 
       5.588356011223e-02       1.292291896679e+04 
       5.674229294729e-02       1.280139012057e+04 
       5.767924936659e-02       1.267372389773e+04 
       5.870735984248e-02       1.253774347240e+04 
       5.984194908769e-02       1.239116781331e+04 
       6.110089889145e-02       1.223211425413e+04 
       6.250448693430e-02       1.205486605149e+04 
       6.407458251770e-02       1.185448927194e+04 
       6.583277167423e-02       1.162351994284e+04 
       6.779705066576e-02       1.135328627115e+04 
       6.997724812940e-02       1.103487372078e+04 
       7.237046618440e-02       1.066127658850e+04 
       7.495897177600e-02       1.022976006571e+04 
       7.771259463480e-02       9.744633841083e+03 
       8.059509329526e-02       9.220913691002e+03 
       8.357128627481e-02       8.675760286413e+03 
       8.661181623920e-02       8.132384279663e+03 
       8.969469792301e-02       7.612305574544e+03 
       9.280465539281e-02       7.132061880348e+03 
       9.593159208876e-02       6.705752585995e+03 
       9.906904700970e-02       6.338994973749e+03 
       1.022129691985e-01       6.032929036901e+03 
       1.053608507604e-01       5.783690755068e+03 
       1.085111510864e-01       5.584348316658e+03 
       1.116629281739e-01       5.424834125432e+03 
       1.148156075925e-01       5.294343102753e+03 
       1.179688395587e-01       5.180324484200e+03 
       1.211224112004e-01       5.072047174502e+03 
       1.242761929504e-01       4.959932497032e+03 
       1.274301058841e-01       4.836292012154e+03 
       1.305841018522e-01       4.696831035948e+03 
       1.337381514068e-01       4.540221406339e+03 
       1.368922364691e-01       4.368504367476e+03 
       1.400463458761e-01       4.184912424637e+03 
       1.432004726769e-01       3.995548122588e+03 
       1.463546124910e-01       3.806103694026e+03 
       1.495087625098e-01       3.622741897838e+03 
       1.526629208910e-01       3.451131906089e+03 
       1.558170863889e-01       3.295007761432e+03 
       1.589712581295e-01       3.156734544716e+03 
       1.621254354734e-01       3.038070296996e+03 
       1.652796179316e-01       2.938058836587e+03 
       1.684338051135e-01       2.855075458859e+03 
       1.715879966950e-01       2.786489693438e+03 
       1.747421923986e-01       2.728718837242e+03 
       1.778963919804e-01       2.678490234013e+03 
       1.810505952222e-01       2.632649856411e+03 
       1.842048019260e-01       2.586923181213e+03 
       1.873590119104e-01       2.538716184631e+03 
       1.905132250081e-01       2.485551067014e+03 
       1.936674410638e-01       2.426509449173e+03 
       1.968216599330e-01       2.361503162684e+03 
       1.999758814809e-01       2.291423021540e+03 
       2.031301055813e-01       2.217856244517e+03 
       2.062843321160e-01       2.142474845039e+03 
       2.094385609740e-01       2.067532723432e+03 
       2.125927920510e-01       1.994860117455e+03 
       2.157470252490e-01       1.926040676157e+03 
       2.189012604756e-01       1.862139706755e+03 
       2.220554976437e-01       1.804238079643e+03 
       2.252097366711e-01       1.752578874355e+03 
       2.283639774803e-01       1.707284738984e+03 
       2.315182199979e-01       1.667757156673e+03 
       2.346724641546e-01       1.633289759379e+03 
       2.378267098848e-01       1.602823843909e+03 
       2.409809571262e-01       1.574957841664e+03 
       2.441352058199e-01       1.548753111691e+03 
       2.472894559100e-01       1.522875615536e+03 
       2.504437073435e-01       1.496451780485e+03 
       2.535979600697e-01       1.468960937196e+03 
       2.567522140409e-01       1.439860207713e+03 
       2.599064692114e-01       1.409086595173e+03 
       2.630607255378e-01       1.376685343331e+03 
       2.662149829788e-01       1.343115051050e+03 
       2.693692414950e-01       1.308824046696e+03 
       2.725235010489e-01       1.274481200230e+03 
       2.756777616046e-01       1.240818903354e+03 
       2.788320231280e-01       1.208432270492e+03 
       2.819862855863e-01       1.177729137083e+03 
       2.851405489485e-01       1.149140642861e+03 
       2.882948131846e-01       1.122851403077e+03 
       2.914490782662e-01       1.098773607690e+03 
       2.946033441659e-01       1.076796508416e+03 
       2.977576108576e-01       1.056679515179e+03 
       3.009118783163e-01       1.038087479712e+03 
       3.040661465180e-01       1.020770867155e+03 
       3.072204154396e-01       1.004210755514e+03 
       3.103746850592e-01       9.880893124592e+02 
       3.135289553555e-01       9.720460017711e+02 
       3.166832263082e-01       9.558310129572e+02 
       3.198374978978e-01       9.393059912647e+02 
       3.229917701056e-01       9.223455718459e+02 
       3.261460429135e-01       9.050026312233e+02 
       3.293003163042e-01       8.873637000642e+02 
       3.324545902611e-01       8.696393004150e+02 
       3.356088647680e-01       8.519573916455e+02 
       3.387631398096e-01       8.345220905364e+02 
       3.419174153711e-01       8.174890363232e+02 
       3.450716914380e-01       8.010417937486e+02 
       3.482259679965e-01       7.852674016048e+02 
       3.513802450335e-01       7.703329525426e+02 
       3.545345225360e-01       7.562087819996e+02 
       3.576888004918e-01       7.429476149925e+02 
       3.608430788887e-01       7.304635985235e+02 
       3.639973577154e-01       7.186298599899e+02 
       3.671516369607e-01       7.073510406732e+02 
       3.703059166139e-01       6.964448817114e+02 
       3.734601966645e-01       6.858212188199e+02 
       3.766144771026e-01       6.753822202410e+02 
       3.797687579185e-01       6.650788754664e+02 
       3.829230391028e-01       6.548021423494e+02 
       3.860773206464e-01       6.445208912944e+02 
       3.892316025405e-01       6.342244578563e+02 
       3.923858847767e-01       6.239206084759e+02 
       3.955401673467e-01       6.136216247055e+02 
       3.986944502427e-01       6.034036094926e+02 
       4.018487334568e-01       5.932971089766e+02 
       4.050030169817e-01       5.833855606269e+02 
       4.081573008100e-01       5.737110337382e+02 
       4.113115849349e-01       5.643131823258e+02 
       4.144658693494e-01       5.552193501651e+02 
       4.176201540471e-01       5.464208014849e+02 
       4.207744390214e-01       5.379331381775e+02 
       4.239287242663e-01       5.297573257565e+02 
       4.270830097756e-01       5.218834929705e+02 
       4.302372955436e-01       5.142868723902e+02 
       4.333915815646e-01       5.069209481618e+02 
       4.365458678331e-01       4.997939566789e+02 
       4.397001543438e-01       4.928258322260e+02 
       4.428544410913e-01       4.859546102718e+02 
       4.460087280708e-01       4.791841486227e+02 
       4.491630152773e-01       4.724997584318e+02 
       4.523173027060e-01       4.658721877240e+02 
       4.554715903523e-01       4.593045580631e+02 
       4.586258782118e-01       4.527939627024e+02 
       4.617801662799e-01       4.463322451980e+02 
       4.649344545525e-01       4.399541548533e+02 
       4.680887430254e-01       4.336527771744e+02 
       4.712430316945e-01       4.274575878062e+02 
       4.743973205560e-01       4.213639796154e+02 
       4.775516096061e-01       4.154137770436e+02 
       4.807058988409e-01       4.096322301127e+02 
       4.838601882569e-01       4.040050853442e+02 
       4.870144778505e-01       3.985341802985e+02 
       4.901687676183e-01       3.932109259797e+02 
       4.933230575570e-01       3.880243629352e+02 
       4.964773476632e-01       3.829647990833e+02 
       4.996316379338e-01       3.780180531955e+02 
       5.027859283658e-01       3.731874126376e+02 
       5.059402189560e-01       3.684548670482e+02 
       5.090945097015e-01       3.637845572406e+02 
       5.122488005994e-01       3.591883685083e+02 
       5.154030916470e-01       3.546472474152e+02 
       5.185573828415e-01       3.501571723147e+02 
       5.217116741802e-01       3.457186647842e+02 
       5.248659656604e-01       3.413365001585e+02 
       5.280202572798e-01       3.370171605109e+02 
       5.311745490357e-01       3.327645568575e+02 
       5.343288409258e-01       3.285820005147e+02 
       5.374831329477e-01       3.244764363755e+02 
       5.406374250991e-01       3.204335521769e+02 
       5.437917173776e-01       3.164564062741e+02 
       5.469460097812e-01       3.125603576920e+02 
       5.501003023076e-01       3.087439924345e+02 
       5.532545949547e-01       3.050093935182e+02 
       5.564088877206e-01       3.013545803550e+02 
       5.595631806031e-01       2.977748443764e+02 
       5.627174736003e-01       2.942634025351e+02 
       5.658717667103e-01       2.908135312396e+02 
       5.690260599312e-01       2.874204742865e+02 
       5.721803532611e-01       2.840872963228e+02 
       5.753346466983e-01       2.808017640652e+02 
       5.784889402410e-01       2.775694466972e+02 
       5.816432338875e-01       2.743813077435e+02 
       5.847975276361e-01       2.712448092940e+02 
       5.879518214851e-01       2.681499852669e+02 
       5.911061154330e-01       2.650950419343e+02 
       5.942604094781e-01       2.620792887090e+02 
       5.974147036189e-01       2.591101912243e+02 
       6.005689978539e-01       2.561810760803e+02 
       6.037232921817e-01       2.533003102447e+02 
       6.068775866007e-01       2.504671730728e+02 
       6.100318811096e-01       2.476805840887e+02 
       6.131861757069e-01       2.449348104004e+02 
       6.163404703914e-01       2.422374152690e+02 
       6.194947651616e-01       2.395832072947e+02 
       6.365703032170e-01       2.259740133889e+02 
       6.538823022144e-01       2.132488477554e+02 
       6.714312288382e-01       2.013169215289e+02 
       6.892196696097e-01       1.901622793128e+02 
       7.072523625557e-01       1.797394449830e+02 
       7.255361704166e-01       1.699667901441e+02 
       7.440800007506e-01       1.607950908151e+02 
       7.628946803926e-01       1.521877584140e+02 
       7.819927930775e-01       1.440975230894e+02 
       8.013884896557e-01       1.364814812171e+02 
       8.210972803253e-01       1.293091014303e+02 
       8.411358178107e-01       1.225519838225e+02 
       8.615216795824e-01       1.161715272717e+02 
       8.822731561711e-01       1.101440176233e+02 
       9.034090514849e-01       1.044455506950e+02 
       9.249484998760e-01       9.905636847810e+01 
       9.469108035645e-01       9.395402519535e+01 
       9.693152929458e-01       8.912180628401e+01 
       9.921812112960e-01       8.454004328341e+01 
       1.015527624457e+00       8.019742507008e+01 
       1.039373355226e+00       7.607365016911e+01 
       1.063736941435e+00       7.216309931801e+01 
       1.088636616017e+00       6.844929994383e+01 
       1.114090306865e+00       6.492463599575e+01 
       1.140115653835e+00       6.157771605665e+01 
       1.166730040017e+00       5.840019204224e+01 
       1.193950634239e+00       5.538230302466e+01 
       1.221794441810e+00       5.251540884522e+01 
       1.250278360637e+00       4.979345573318e+01 
       1.279419240101e+00       4.720861875392e+01 
       1.309233940448e+00       4.475380202904e+01 
       1.339739390791e+00       4.242152495670e+01 
       1.370952644304e+00       4.020831600094e+01 
       1.402890929558e+00       3.810680252455e+01 
       1.435571697386e+00       3.611150737683e+01 
       1.469012662974e+00       3.421690744725e+01 
       1.503231843205e+00       3.241896014167e+01 
       1.538247589468e+00       3.071222206690e+01 
       1.574078616355e+00       2.909257808109e+01 
       1.610744026702e+00       2.755573535022e+01 
